Kilometre,Marka,Model_Yili,Motor_Hacmi,Vites_Tipi,Yakit_Turu,Cekis_Tipi,Fiyat
56.682,2,2021,16.0,1,0,0,2564000.0
79.625,7,2020,15.0,0,1,1,700500.0
49.936,6,2018,16.0,2,1,1,694000.0
44.598,21,2021,15.0,2,0,1,1520000.0
29.237,6,2016,14.0,0,0,1,595000.0
126.826,7,2020,15.0,1,1,1,985000.0
47.874,6,2022,16.0,2,1,1,849000.0
44.832,7,2022,15.0,0,1,1,820000.0
68.683,2,2021,16.0,1,0,0,1891000.0
185.216,15,2017,16.0,1,1,1,664000.0
81.264,2,2021,16.0,1,0,0,2034000.0
88.411,19,2021,15.0,2,0,1,1187000.0
65.154,7,2020,15.0,0,1,1,674000.0
47.117,7,2022,1.0,2,0,1,1065000.0
55.731,8,2021,15.0,1,4,1,1305000.0
138.774,3,2012,12.0,0,1,1,505000.0
36.63,6,2022,16.0,2,1,1,998000.0
36.685,6,2022,16.0,2,1,1,972000.0
34.72,6,2022,16.0,2,1,1,998000.0
137.425,19,2017,16.0,2,1,1,1155000.0
57.089,6,2022,16.0,0,1,1,750000.0
72.078,1,2019,2.0,2,1,1,1818000.0
98.954,7,2020,15.0,0,1,1,666000.0
73.614,9,2016,16.0,0,0,1,675000.0
57.814,16,2021,15.0,1,1,1,1272000.0
75.266,1,2021,15.0,2,0,1,1408000.0
52.026,16,2021,15.0,1,1,1,1448000.0
65.471,1,2021,15.0,2,0,1,1455000.0
65.471,1,2021,15.0,2,0,1,1487000.0
40.752,16,2022,15.0,1,1,1,1494000.0
214.073,14,2019,15.0,2,1,1,946000.0
84.938,17,2019,15.0,2,1,1,832000.0
107.591,5,2020,15.0,0,1,1,752500.0
86.013,7,2020,15.0,0,1,1,597500.0
45.707,16,2022,15.0,1,1,1,1554000.0
139.753,2,2017,2.0,1,1,0,1387000.0
157.027,6,2021,16.0,0,1,1,850000.0
62.382,19,2021,15.0,2,0,1,1210000.0
60.388,15,2020,15.0,1,1,1,1058000.0
130.057,7,2020,15.0,0,1,1,639000.0
49.561,7,2021,15.0,1,1,1,1011000.0
96.412,17,2004,15.0,0,1,1,485000.0
292.248,7,2014,22.0,0,1,0,535000.0
161.353,15,2008,12.0,0,0,1,450000.0
158.497,14,2018,16.0,1,1,1,1100000.0
147.008,17,2019,15.0,2,1,1,769500.0
74.623,7,2020,15.0,0,1,1,668000.0
115.828,17,2019,15.0,2,1,1,816000.0
124.493,6,2020,12.0,0,1,1,540000.0
60.722,6,2021,14.0,0,0,1,625000.0
97.048,17,2020,15.0,2,1,1,809000.0
131.619,0,2018,16.0,2,1,1,809000.0
88.413,7,2020,15.0,0,1,1,669500.0
62.391,16,2021,15.0,1,1,1,1096000.0
97.374,6,2019,13.0,0,1,1,575000.0
115.991,6,2019,13.0,0,1,1,546000.0
116.305,6,2019,12.0,0,1,1,589500.0
115.828,17,2019,15.0,2,1,1,816000.0
124.493,6,2020,12.0,0,1,1,540000.0
60.722,6,2021,14.0,0,0,1,625000.0
97.048,17,2020,15.0,2,1,1,809000.0
131.619,0,2018,16.0,2,1,1,809000.0
88.413,7,2020,15.0,0,1,1,669500.0
62.391,16,2021,15.0,1,1,1,1096000.0
97.374,6,2019,13.0,0,1,1,575000.0
115.991,6,2019,13.0,0,1,1,546000.0
116.305,6,2019,12.0,0,1,1,589500.0
76.154,2,2021,16.0,1,0,0,1832000.0
62.404,7,2022,15.0,1,1,1,1115000.0
249.86,6,2017,16.0,2,1,1,571500.0
28.712,8,2021,16.0,1,0,1,1185000.0
49.94,7,2022,15.0,0,1,1,800000.0
50.752,6,2022,15.0,2,0,1,844000.0
41.47,16,2021,15.0,1,1,1,1320000.0
31.0,16,2020,15.0,1,1,1,1270000.0
82.669,7,2018,1.0,1,0,1,915000.0
240.0,15,2005,16.0,0,0,1,395000.0
36.6,16,2020,15.0,1,1,1,883000.0
29.157,5,2022,13.0,2,0,1,867000.0
104.159,21,2016,16.0,0,1,1,1195000.0
7.462,1,2022,15.0,2,0,1,1725000.0
48.338,21,2022,1.0,2,0,1,1045000.0
79.118,7,2021,15.0,1,1,1,988000.0
40.65,16,2021,15.0,1,1,1,1542000.0
72.5,16,2021,15.0,1,1,1,966000.0
52.567,7,2022,15.0,0,1,1,815000.0
175.964,6,2017,16.0,2,1,1,607500.0
62.088,6,2017,16.0,1,0,1,910000.0
48.81,22,2021,15.0,1,0,1,1728000.0
73.879,15,2020,16.0,1,1,1,1228000.0
70.639,15,2021,12.0,1,0,1,1109000.0
58.054,19,2021,15.0,2,0,1,1326000.0
66.659,22,2021,15.0,1,0,1,1776000.0
77.016,2,2020,16.0,1,0,0,1837000.0
65.33,18,2021,15.0,2,0,1,1106000.0
62.73,22,2021,15.0,1,0,1,1781000.0
67.021,15,2021,15.0,1,1,1,880000.0
167.613,6,2019,12.0,0,1,1,553000.0
58.06,15,2020,15.0,1,1,1,971000.0
61.977,11,2014,16.0,1,0,1,896000.0
70.453,2,2021,16.0,1,0,0,1821000.0
56.252,6,2021,12.0,0,1,1,706000.0
83.558,2,2020,16.0,1,0,0,1826000.0
78.359,7,2020,15.0,1,1,1,1201000.0
47.904,6,2021,12.0,0,1,1,731000.0
65.709,2,2021,16.0,1,0,0,2458000.0
140.517,6,2017,13.0,0,1,1,490000.0
50.635,7,2022,15.0,0,1,1,783000.0
43.467,15,2020,15.0,1,1,1,1049000.0
83.95,17,2020,13.0,2,0,1,720000.0
64.501,16,2021,12.0,1,0,1,1070000.0
194.599,6,2020,16.0,2,1,1,668000.0
21.733,10,2022,13.0,2,0,1,1423000.0
54.951,18,2021,15.0,2,0,1,1114000.0
55.278,6,2022,12.0,0,1,1,714000.0
45.388,6,2022,16.0,2,1,1,959000.0
103.828,7,2020,15.0,0,1,1,698000.0
54.297,7,2022,15.0,0,1,1,813000.0
60.195,7,2020,15.0,1,1,1,1246000.0
99.123,7,2020,15.0,0,1,1,676000.0
89.583,4,2019,12.0,0,0,1,531500.0
99.015,19,2019,16.0,2,1,1,853000.0
72.162,12,2021,16.0,1,1,0,2672000.0
154.8,7,2006,24.0,0,1,0,415000.0
124.09,6,2018,13.0,0,1,1,654000.0
56.588,7,2022,15.0,1,1,1,1148000.0
67.009,7,2021,15.0,1,1,1,1161000.0
78.136,2,2021,15.0,2,0,1,1529000.0
49.726,7,2022,15.0,0,1,1,798000.0
53.261,2,2021,16.0,1,0,0,2386000.0
262.891,7,2014,12.0,0,0,1,550000.0
172.697,15,2014,16.0,0,0,1,565000.0
147.142,5,2018,15.0,0,1,1,585000.0
142.866,17,2019,0.0,1,2,1,694000.0
110.614,12,2018,16.0,1,0,0,2002000.0
331.801,7,2012,18.0,0,1,1,460000.0
75.769,21,2020,16.0,2,1,1,1377000.0
92.789,14,2018,16.0,1,1,1,1283000.0
69.498,15,2021,12.0,1,0,1,1163000.0
73.107,12,2021,16.0,1,1,0,1940000.0
37.362,15,2022,12.0,1,0,1,1083000.0
69.548,2,2021,16.0,1,0,0,1862000.0
115.618,1,2018,14.0,2,0,1,1743000.0
78.967,15,2021,12.0,1,0,1,1081000.0
125.05,4,2019,12.0,1,0,1,790000.0
154.751,14,2020,15.0,2,1,1,953000.0
76.045,7,2022,15.0,1,1,1,1145000.0
58.855,2,2018,16.0,1,0,0,2360000.0
53.262,16,2021,12.0,1,0,1,1080000.0
49.405,16,2021,15.0,1,1,1,1481000.0
47.07,16,2022,15.0,1,1,1,1552000.0
60.559,22,2021,15.0,1,0,1,1749000.0
183.405,14,2020,15.0,2,1,1,1014000.0
62.336,2,2021,16.0,1,0,0,2479000.0
29.18,17,2021,1.0,1,0,1,870000.0
55.619,10,2022,13.0,2,0,1,1062000.0
54.556,7,2020,15.0,1,1,1,1136000.0
73.916,2,2021,16.0,1,0,0,1893000.0
65.906,12,2021,16.0,1,1,0,1821000.0
109.038,19,2019,16.0,2,1,1,828000.0
55.675,2,2021,16.0,1,0,0,2320000.0
97.911,2,2018,16.0,1,0,0,2205000.0
71.267,2,2021,15.0,1,0,1,1645000.0
68.176,2,2021,16.0,1,0,0,2464000.0
78.863,2,2018,16.0,1,0,0,2270000.0
89.0,7,2009,18.0,0,1,1,550000.0
90.725,1,2011,16.0,0,0,1,690000.0
277.301,6,2020,16.0,2,1,1,624500.0
159.593,7,2020,15.0,0,1,1,611500.0
47.539,7,2022,15.0,0,1,1,724500.0
43.651,16,2022,15.0,1,1,1,1560000.0
50.157,19,2021,15.0,2,0,1,1683000.0
53.323,7,2022,15.0,1,1,1,1149000.0
155.453,1,2016,14.0,2,0,1,1080000.0
98.741,20,2016,12.0,1,0,1,950000.0
51.14,1,2022,15.0,2,0,1,2008000.0
66.093,1,2022,15.0,2,0,1,1959000.0
56.093,16,2021,15.0,1,1,1,1505000.0
70.866,19,2020,15.0,2,0,1,1145000.0
46.902,1,2022,15.0,2,0,1,1575000.0
39.323,15,2020,15.0,1,1,1,1086000.0
43.154,1,2022,15.0,2,0,1,2003000.0
92.346,17,2019,15.0,2,1,1,822000.0
109.212,1,2018,14.0,2,0,1,1764000.0
66.973,12,2021,16.0,1,1,0,1941000.0
50.834,19,2021,15.0,2,0,1,1683000.0
69.637,15,2021,12.0,1,0,1,1091000.0
46.339,10,2022,13.0,2,0,1,1039000.0
60.962,7,2022,15.0,1,1,1,1140000.0
46.944,6,2020,16.0,2,1,1,712500.0
32.413,6,2020,16.0,2,1,1,756500.0
68.047,17,2021,15.0,2,1,1,849000.0
60.899,16,2021,12.0,1,0,1,1012000.0
79.958,12,2020,16.0,1,1,0,1971000.0
75.302,2,2018,15.0,1,0,0,1514000.0
77.391,2,2018,16.0,1,0,0,2343000.0
59.253,2,2021,16.0,1,0,0,2385000.0
62.349,2,2021,16.0,1,0,0,2429000.0
57.575,7,2022,15.0,0,1,1,825000.0
51.956,6,2022,12.0,0,1,1,710000.0
54.119,7,2022,15.0,1,1,1,1161000.0
57.687,4,2021,12.0,1,0,1,1155000.0
64.645,2,2018,16.0,1,0,0,2372000.0
48.428,6,2022,12.0,0,1,1,669500.0
48.69,6,2022,12.0,0,1,1,709000.0
17.566,17,2022,1.0,1,0,1,631500.0
44.476,4,2021,12.0,1,0,1,1076000.0
52.25,6,2022,12.0,0,1,1,709000.0
99.418,7,2020,15.0,0,1,1,651000.0
179.627,7,2020,15.0,1,1,1,854000.0
74.933,6,2020,16.0,2,1,1,939000.0
62.93,19,2021,15.0,2,0,1,1629000.0
63.272,4,2021,15.0,1,1,1,1350000.0
51.55,7,2022,15.0,1,1,1,1430000.0
70.841,4,2021,15.0,1,1,1,1350000.0
81.788,16,2021,15.0,1,1,1,1203000.0
76.773,20,2021,18.0,1,3,1,892000.0
38.986,1,2022,15.0,2,0,1,2013000.0
50.353,7,2022,15.0,1,1,1,1368000.0
42.528,1,2022,15.0,2,0,1,1967000.0
71.528,7,2022,15.0,1,1,1,1367000.0
29.227,7,2022,1.0,1,0,1,811000.0
47.753,2,2018,15.0,1,1,1,1595000.0
