Kilometre,Marka,Model,Model Yılı,Motor Hacmi,Plaka,Renk,Ruhsat Cins ,Ruhsat Tip,Varyant,Vites Tipi,Yakıt Türü,Yetki Belge No,Çekiş Tipi,url,price
78.824,FIAT,500X,2020.0,"1,6",34DPM840,TUTKU KIRMIZI,(OTOMOBİL(AF  ÇOK AMAÇLI) ,334,1.6 MJET 120 HP CROSS DCT,Yarı Otomatik,Dizel,700082.0,Önden,https://www.otokocikinciel.com/ikinci-el-fiat/500x/dizel/16-mjet-120-hp-cross-dct-1264938,922.000 TL
67.008,RENAULT,CLIO,2015.0,"1,2",16APU007,Beyaz, OTOMOBİL(AB HATCHBACK) ,R ,YENI CLIO TOUCH 1.2 120BG TURBO EDC,Yarı Otomatik,Benzin,1600270.0,Önden,https://www.otokocikinciel.com/ikinci-el-renault/clio/benzin/yeni-clio-touch-12-120bg-turbo-edc-1430932,611.500 TL
53.277,FIAT,EGEA,2022.0,"1,2",34FMF616,Beyaz,(OTOMOBİL(AA SEDAN ,356,1.3 MJET 95 HP EU6D EASY,Manuel,Dizel,4400081.0,Önden,https://www.otokocikinciel.com/ikinci-el-fiat/egea/dizel/13-mjet-95-hp-eu6d-easy-3316947,725.000 TL
40.948,RENAULT,MEGANE,2022.0,"1,3",34FMF572,Gri, ,,SEDAN JOY 1.3 TCE 140 bg EDC,Yarı Otomatik,Benzin,3500143.0,Önden,https://www.otokocikinciel.com/ikinci-el-renault/megane/benzin/sedan-joy-13-tce-140-bg-edc-2318551,882.000 TL
50.386,FORD,FOCUS,2022.0,"1,5",34FGY520,MANYETIK GRI,OTOMOBİL(AA SEDAN) ,DEH,TREND X 4K 1.5L TDCI 120PS 8S AT,Otomatik,Dizel,3500164.0,,https://www.otokocikinciel.com/ikinci-el-ford/focus/dizel/trend-x-4k-15l-tdci-120ps-8s-at-1308337,1.171.000 TL
55.175,CITROEN,C3 AIRCROSS,2022.0,"1,2",34FEC131,Gri, ,,1.2 PURETECH 130HP EAT6 FEEL BOLD,Otomatik,Benzin,3400246.0,Önden,https://www.otokocikinciel.com/ikinci-el-citroen/c3-aircross/benzin/12-puretech-130hp-eat6-feel-bold-1303210,901.000 TL
91.569,BMW,3 SERISI,2020.0,"1,6",34DKS698,Siyah,OTOMOBİL (AA SEDAN) ,G3L,1.6 320I A FIRST EDITION SPORT LINE,Otomatik,Benzin,1600091.0,Arkadan,https://www.otokocikinciel.com/ikinci-el-bmw/3-serisi/benzin/16-320i-a-first-edition-sport-line-2260146,1.847.000 TL
112.154,RENAULT,MEGANE,2019.0,"1,5",34CDH866,Beyaz,OTOMOBİL ,M1,Sedan TOUCH 1.5 dCi EDC 110 bg,Yarı Otomatik,Dizel,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-renault/megane/dizel/sedan-touch-15-dci-edc-110-bg-3231569,805.000 TL
59.03,PEUGEOT,2008,2021.0,"1,2",34EZM377,Turuncu,OTOMOBİL(AF ÇOK AMAÇLI) ,U,1.2 PURETECH 130HP ACTIVE EAT8,Otomatik,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-peugeot/2008/benzin/12-puretech-130hp-active-eat8-3297093,1.073.000 TL
46.581,JEEP,RENEGADE,2022.0,"1,3",34FJB065,Siyah,OTOMOBİL(AF ÇOK AMAÇLI) ,BU,1.3 150HP LONGITUDE BENZİNLİ DDCT 4x2,Yarı Otomatik,Benzin,700082.0,Önden,https://www.otokocikinciel.com/ikinci-el-jeep/renegade/benzin/13-150hp-longitude-benzinli-ddct-4x2-1312260,1.074.000 TL
41.04,PEUGEOT,5008,2022.0,"1,5",34FDF651,Turuncu,OTOMOBİL(AF ÇOK AMAÇLI) ,M,ALLURE 1.5 BLUEHDI 130HP EAT8,Otomatik,Dizel,700048.0,Önden,https://www.otokocikinciel.com/ikinci-el-peugeot/5008/dizel/allure-15-bluehdi-130hp-eat8-2301994,1.545.000 TL
104.086,FIAT,EGEA,2019.0,"1,2",34CFS399,Beyaz,(OTOMOBİL(AA SEDAN) ,356,1.3 MJET 95 HP EU6 URBAN PLUS,Manuel,Dizel,600340.0,Önden,https://www.otokocikinciel.com/ikinci-el-fiat/egea/dizel/13-mjet-95-hp-eu6-urban-plus-2234935,666.500 TL
46.025,AUDI,Q3,2022.0,"1,5",34FID997,Siyah,OTOMOBİL(AC STATION) ,F3,35 TFSI 150HP STR ADVANCED,Yarı Otomatik,Benzin,100025.0,Önden,https://www.otokocikinciel.com/ikinci-el-audi/q3/benzin/35-tfsi-150hp-str-advanced-2311496,1.958.000 TL
65.837,FIAT,EGEA,2022.0,"1,6",34FLF121,Beyaz,(OTOMOBİL(AA SEDAN) ,RFB,1.6 MJET 130HP EASY DCT,Yarı Otomatik,Dizel,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-fiat/egea/dizel/16-mjet-130hp-easy-dct-3315014,772.000 TL
120.59,FORD,FOCUS,2020.0,"1,5",34DFG724,BUZ BEYAZI+ TITANIUM SIYAH KUMAS,OTOMOBİL(AA SEDAN) ,DEH,1.5L TDCI 120PS TITANIUM AUTO,Otomatik,Dizel,600236.0,Önden,https://www.otokocikinciel.com/ikinci-el-ford/focus/dizel/15l-tdci-120ps-titanium-auto-1256345,920.000 TL
12.439,FIAT,EGEA,2023.0,"1,4",34HBP716,Okyanus Mavi,OTOMOBİL ,M1,1.4 FIRE 95 HP EU6 EASY,Manuel,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-fiat/egea/benzin/14-fire-95-hp-eu6-easy-3431369,730.000 TL
52.13,FIAT,EGEA,2022.0,"1,2",34FMG584,Beyaz, ,,1.3 MJET 95 HP EU6D EASY,Manuel,Dizel,3500143.0,Önden,https://www.otokocikinciel.com/ikinci-el-fiat/egea/dizel/13-mjet-95-hp-eu6d-easy-2316584,691.000 TL
33.4,CITROEN,BERLINGO,2017.0,"1,6",25GB089,Beyaz,HUSUSİ ,KAMYONET,COMBI 1.6 BLUEHDI 100HP EU6,Manuel,Dizel,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-citroen/berlingo/dizel/combi-16-bluehdi-100hp-eu6-3431546,645.000 TL
72.29,PEUGEOT,2008,2022.0,"1,5",34FDJ643,Gri,OTOMOBİL(AF ÇOK AMAÇLI) ,0U,1.5 BLUEHDI 130HP ACTIVE SKYPACK EAT8,Otomatik,Dizel,700048.0,Önden,https://www.otokocikinciel.com/ikinci-el-peugeot/2008/dizel/15-bluehdi-130hp-active-skypack-eat8-2302494,1.197.000 TL
43.504,FIAT,EGEA,2021.0,"1,4",34EVC901,Beyaz,(OTOMOBİL(AA SEDAN ,356,1.4 FIRE BZ 95 HP EASY,Manuel,Benzin,600236.0,Önden,https://www.otokocikinciel.com/ikinci-el-fiat/egea/benzin/14-fire-bz-95-hp-easy-1292836,640.500 TL
91.627,FORD,KUGA,2020.0,"1,5",34DCV676,BUZ BEYAZI,OTOMOBİL (AF ÇOK AMAÇLI) ,DFK,1.5L ECOBLUE 120PS TITANIUM AUTOMATIC,Otomatik,Dizel,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-ford/kuga/dizel/15l-ecoblue-120ps-titanium-automatic-3255133,1.246.000 TL
48.312,FORD,TOURNEO COURIER JOURNEY,2022.0,"1,5",34FIE663,BUZ BEYAZI,OTOMOBİL(AF ÇOK AMAÇLI) ,JB8,1.5L TDCI 100PS JOURNEY TREND EU6.2,Manuel,Dizel,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-ford/tourneo-courier-journey/dizel/15l-tdci-100ps-journey-trend-eu62-3311157,723.500 TL
94.568,CITROEN,C-ELYSEE,2017.0,"1,6",58BV850,Beyaz,OTOMOBİL ,M1,1.6 HDI 92HP M/T FEEL,Manuel,Dizel,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-citroen/c-elysee/dizel/16-hdi-92hp-mt-feel-3430469,595.000 TL
36.631,MERCEDES,E-SERISI,2022.0,"1,6",34FFC647,Siyah, ,,1.6 E 200 D EXCLUSIVE AUTO,Otomatik,Dizel,3500143.0,Arkadan,https://www.otokocikinciel.com/ikinci-el-mercedes/e-serisi/dizel/16-e-200-d-exclusive-auto-2305866,2.923.000 TL
91.108,FIAT,EGEA,2020.0,"1,6",34DNH547,Beyaz,(OTOMOBİL(AA SEDAN) ,356,1.6 MJET 120 HP EU6D EASY DCT,Yarı Otomatik,Dizel,700048.0,Önden,https://www.otokocikinciel.com/ikinci-el-fiat/egea/dizel/16-mjet-120-hp-eu6d-easy-dct-2262506,672.000 TL
53.28,FIAT,EGEA,2021.0,"1,4",34CIZ669,Beyaz,(OTOMOBİL(AF ÇOK AMAÇLI) ,356,1.4 FIRE BZ 95 HP CROSS URBAN,Manuel,Benzin,700048.0,Önden,https://www.otokocikinciel.com/ikinci-el-fiat/egea/benzin/14-fire-bz-95-hp-cross-urban-2285148,725.500 TL
71.951,RENAULT,MEGANE,2021.0,"1,3",34ELK343,Beyaz,OTOMOBİL ,M1,SEDAN JOY 1.3 TCE 140 bg EDC,Yarı Otomatik,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-renault/megane/benzin/sedan-joy-13-tce-140-bg-edc-3284771,830.000 TL
32.542,FIAT,EGEA,2022.0,"1,2",34FVC069,Beyaz,OTOMOBİL (AA SEDAN) ,356,1.3 MJET II DS 95 HP EASY,Manuel,Dizel,1600091.0,Önden,https://www.otokocikinciel.com/ikinci-el-fiat/egea/dizel/13-mjet-ii-ds-95-hp-easy-2329892,730.000 TL
122.309,FIAT,EGEA,2021.0,"1,2",34EDV977,Beyaz,(OTOMOBİL(AA SEDAN ,356,1.3 MJET 95 HP EU6D EASY,Manuel,Dizel,600340.0,Önden,https://www.otokocikinciel.com/ikinci-el-fiat/egea/dizel/13-mjet-95-hp-eu6d-easy-2276850,632.500 TL
70.62,SKODA,SUPERB,2021.0,"1,5",34EIS900,Gri,OTOMOBIL ( AA SEDAN ) ,M1,1.5 TSI 150 PS DSG ACT PREMIUM,Yarı Otomatik,Benzin,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-skoda/superb/benzin/15-tsi-150-ps-dsg-act-premium-3282500,1.158.000 TL
47.614,FORD,FOCUS,2022.0,"1,5",34FGY476,BUZ BEYAZI,OTOMOBİL (AA Sedan) ,D,1.5L TDCI 120PS TREND X AUTO,Otomatik,Dizel,600340.0,Önden,https://www.otokocikinciel.com/ikinci-el-ford/focus/dizel/15l-tdci-120ps-trend-x-auto-2308335,1.180.000 TL
160.98,CITROEN,C-ELYSEE,2017.0,"1,6",34BDF900,Gri,OTOMOBİL ,M1,1.6 HDI 92HP M/T SHINE,Manuel,Dizel,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-citroen/c-elysee/dizel/16-hdi-92hp-mt-shine-3431044,530.000 TL
139.116,FIAT,DUCATO,2012.0,"2,3",58TP207,Beyaz,KAMYONET ,N1,Yeni VAN MAXI 2.3MJET 120HP (15M3 ),Manuel,Dizel,3400031.0,Önden,https://www.otokocikinciel.com/ikinci-el-fiat/ducato/dizel/yeni-van-maxi-23mjet-120hp-15m3-3431057,585.000 TL
78.55,SKODA,SUPERB,2021.0,"1,5",34EIT066,Gri,OTOMOBİL(AA SEDAN) ,3T,1.5 TSI 150 PS DSG ACT PREMIUM,Yarı Otomatik,Benzin,100025.0,Önden,https://www.otokocikinciel.com/ikinci-el-skoda/superb/benzin/15-tsi-150-ps-dsg-act-premium-2282553,1.187.000 TL
56.768,FIAT,EGEA,2022.0,"1,6",34FOZ551,Beyaz,(OTOMOBİL(AA SEDAN) ,356,1.6 MJET 130HP EASY DCT,Yarı Otomatik,Dizel,5500054.0,Önden,https://www.otokocikinciel.com/ikinci-el-fiat/egea/dizel/16-mjet-130hp-easy-dct-2320848,748.500 TL
108.488,RENAULT,CLIO,2020.0,"1,3",34ECT525,Beyaz, ,,Touch 1.3 TCe EDC 130 bg,Yarı Otomatik,Benzin,5500054.0,Önden,https://www.otokocikinciel.com/ikinci-el-renault/clio/benzin/touch-13-tce-edc-130-bg-2275547,696.500 TL
